row_id,episode_ordinal,episode_id,split,model_step,raw_step,transition_block,normalized_position,interaction_contact,support_contact,free,regime,sensor_grasp_onset,sensor_release,mse_model,mse_persistence,excess,mse_model_whitened,mse_persistence_whitened,excess_whitened,phase_decile
0,0,0,calibration,3,15,2,0.075,False,True,False,support,False,False,0.012173722498118877,0.053079839795827866,-0.040906116366386414,8.876036859211435,3.0632226869975754,5.81281417221386,0
1,0,0,calibration,4,20,3,0.1,False,True,False,support,False,False,0.010973788797855377,0.11582618206739426,-0.10485239326953888,7.927741618462843,2.0322371481594064,5.895504470303436,1
2,0,0,calibration,5,25,4,0.125,False,True,False,support,False,False,0.007547948509454727,0.0783553346991539,-0.07080738246440887,6.737886759887307,0.7950053233090953,5.942881436578212,1
3,0,0,calibration,6,30,5,0.15,True,True,False,interaction,True,False,0.006515705492347479,0.06065218523144722,-0.0541364811360836,7.250613463603007,1.5646046282525825,5.686008835350425,1
4,0,0,calibration,7,35,6,0.175,True,False,False,interaction,False,False,0.06643261015415192,0.2866609990596771,-0.2202283889055252,10.840392471094304,2.531496397140684,8.30889607395362,1
5,0,0,calibration,8,40,7,0.2,True,False,False,interaction,False,False,0.24070072174072266,0.499184250831604,-0.25848352909088135,14.570008694962487,2.741216955779825,11.828791739182662,2
6,0,0,calibration,9,45,8,0.225,True,False,False,interaction,False,False,0.35495853424072266,0.6277828216552734,-0.2728242874145508,10.265122080801488,2.5704428010283085,7.69467927977318,2
7,0,0,calibration,10,50,9,0.25,True,False,False,interaction,False,False,0.748487651348114,1.241601586341858,-0.4931139349937439,14.711052922412799,2.9638393942048595,11.74721352820794,2
8,0,0,calibration,11,55,10,0.275,True,False,False,interaction,False,False,0.4086732864379883,0.9185064435005188,-0.5098331570625305,11.90237153841491,2.739168524257021,9.163203014157888,2
9,0,0,calibration,12,60,11,0.3,True,False,False,interaction,False,False,0.020642375573515892,0.21012592315673828,-0.18948355317115784,8.16105403846237,1.9578572401844194,6.20319679827795,3
10,0,0,calibration,13,65,12,0.325,True,False,False,interaction,False,False,0.04123618081212044,0.16604717075824738,-0.12481099367141724,10.024455605456179,2.008024296560515,8.016431308895664,3
11,0,0,calibration,14,70,13,0.35,True,True,False,interaction,False,True,0.02069101296365261,0.07688684016466141,-0.05619582533836365,7.382024378552071,0.9821193130745111,6.39990506547756,3
12,0,0,calibration,15,75,14,0.375,False,True,False,support,False,False,0.0745980367064476,0.10242599248886108,-0.027827955782413483,7.7240398702846536,0.8394365217247423,6.884603348559911,3
13,0,0,calibration,16,80,15,0.4,False,True,False,support,False,False,0.1290191262960434,0.24911348521709442,-0.12009435892105103,6.600310232437562,0.7994096579988845,5.8009005744386775,4
14,0,0,calibration,17,85,16,0.425,False,True,False,support,False,False,0.05424760282039642,0.16043755412101746,-0.10618995130062103,6.545702138772856,0.7814430691708507,5.764259069602005,4
15,0,0,calibration,18,90,17,0.45,False,True,False,support,False,False,0.04169202968478203,0.11826688051223755,-0.07657484710216522,8.640872209050654,1.2965891450443656,7.344283064006288,4
16,0,0,calibration,19,95,18,0.475,False,True,False,support,False,False,0.016534311696887016,0.07071661949157715,-0.05418230593204498,7.916064356864562,0.7526834059556146,7.163380950908948,4
17,0,0,calibration,20,100,19,0.5,False,True,False,support,False,False,0.04269182309508324,0.16260264813899994,-0.1199108213186264,6.973227358961822,1.0283897796889288,5.9448375792728925,5
18,0,0,calibration,21,105,20,0.525,False,True,False,support,False,False,0.0071436516009271145,0.10070229321718216,-0.09355863928794861,6.691729311594448,0.7024004504089625,5.989328861185485,5
19,0,0,calibration,22,110,21,0.55,False,True,False,support,False,False,0.013257022015750408,0.20743592083454132,-0.19417889416217804,6.883254856846729,0.9455890867335205,5.937665770113208,5
20,0,0,calibration,23,115,22,0.575,True,True,False,interaction,True,False,0.0025048304814845324,0.03959156945347786,-0.037086740136146545,7.781833706063412,0.7389512845663028,7.042882421497109,5
21,0,0,calibration,24,120,23,0.6,True,True,False,interaction,False,False,0.048059698194265366,0.10531976073980331,-0.05726006254553795,10.295063540168275,1.9134115419895512,8.381651998178723,6
22,0,0,calibration,25,125,24,0.625,True,False,False,interaction,False,False,0.0993555411696434,0.33169427514076233,-0.23233872652053833,12.257332235475355,1.6846511299391367,10.572681105536217,6
23,0,0,calibration,26,130,25,0.65,True,False,False,interaction,False,False,0.2204044908285141,0.5025525689125061,-0.2821480631828308,10.191980976716907,2.0264383875544936,8.165542589162413,6
24,0,0,calibration,27,135,26,0.675,True,False,False,interaction,False,False,0.10477577894926071,0.46723127365112305,-0.36245548725128174,5.360427537218733,3.202227606175219,2.158199931043514,6
25,0,0,calibration,28,140,27,0.7,True,False,False,interaction,False,False,0.04788315296173096,0.22424812614917755,-0.1763649731874466,6.12789121778692,2.0223535597104383,4.105537658076482,7
26,0,0,calibration,29,145,28,0.725,True,False,False,interaction,False,False,0.0694304034113884,0.41570261120796204,-0.34627220034599304,6.596706698275068,1.4580320471131702,5.138674651161898,7
27,0,0,calibration,30,150,29,0.75,True,False,False,interaction,False,False,0.03868596628308296,0.32012835144996643,-0.2814423739910126,8.997121894550135,1.507782004001015,7.48933989054912,7
28,0,0,calibration,31,155,30,0.775,True,False,False,interaction,False,False,0.04986806586384773,0.2538496255874634,-0.20398156344890594,9.222621931785566,0.9331834868818637,8.289438444903702,7
29,0,0,calibration,32,160,31,0.8,True,True,False,interaction,False,True,0.023420507088303566,0.028858989477157593,-0.005438482388854027,7.626694359752441,0.58037857257526,7.046315787177181,8
30,0,0,calibration,33,165,32,0.825,False,True,False,support,False,False,0.1472966969013214,0.28177663683891296,-0.13447993993759155,7.839260232936806,0.9511205703368834,6.888139662599923,8
31,0,0,calibration,34,170,33,0.85,False,True,False,support,False,False,0.14133964478969574,0.3785892426967621,-0.23724959790706635,7.036147763790997,1.132377594128348,5.903770169662649,8
32,0,0,calibration,35,175,34,0.875,False,True,False,support,False,False,0.03721730411052704,0.19632892310619354,-0.1591116189956665,10.753686594314596,1.8028436550320446,8.950842939282552,8
33,0,0,calibration,36,180,35,0.9,False,True,False,support,False,False,0.0077815274707973,0.002856505336239934,0.004925021901726723,9.544147852832474,0.19115508815515295,9.352992764677321,9
34,0,0,calibration,37,185,36,0.925,False,True,False,support,False,False,0.05408851429820061,0.19263269007205963,-0.13854417204856873,7.90404976139578,1.2836154622383467,6.620434299157433,9
35,0,0,calibration,38,190,37,0.95,False,True,False,support,False,False,0.021574469283223152,0.12541328370571136,-0.10383881628513336,6.549045623163232,0.8457077962424769,5.703337826920754,9
36,0,0,calibration,39,195,38,0.975,False,True,False,support,False,False,0.01052949856966734,0.16956329345703125,-0.15903379023075104,7.06125893156985,0.9534243464831981,6.1078345850866524,9
37,0,0,calibration,40,200,39,1.0,False,True,False,support,False,False,0.007466502487659454,0.1435539424419403,-0.13608744740486145,7.139404417695762,1.0618881816579087,6.077516236037853,9
